layer,alpha,n_total,n_valid,n_match,success_rate
12,0.8,63,63,58,0.9206
12,0.9,63,62,57,0.9194
12,1.0,63,63,58,0.9206
12,1.5,63,63,58,0.9206
12,2.0,63,63,58,0.9206
12,2.5,63,62,57,0.9194
13,0.1,63,63,58,0.9206
13,0.2,63,62,57,0.9194
13,0.3,63,63,58,0.9206
13,0.4,63,61,56,0.918
13,0.5,63,63,58,0.9206
13,0.6,63,63,58,0.9206
13,0.7,63,63,58,0.9206
13,0.8,63,61,56,0.918
13,0.9,63,60,56,0.9333
13,1.0,63,63,58,0.9206
13,1.5,63,63,58,0.9206
13,2.0,63,63,58,0.9206
13,2.5,63,63,58,0.9206
14,0.1,63,62,56,0.9032
14,0.2,63,63,57,0.9048
14,0.3,63,63,57,0.9048
14,0.4,63,62,57,0.9194
14,0.5,63,63,58,0.9206
14,0.6,63,62,57,0.9194
14,0.7,63,62,57,0.9194
14,0.8,63,63,58,0.9206
14,0.9,63,62,57,0.9194
14,1.0,63,61,57,0.9344
14,1.5,63,61,58,0.9508
14,2.0,63,63,60,0.9524
14,2.5,63,63,60,0.9524
15,0.1,63,63,58,0.9206
15,0.2,63,63,58,0.9206
15,0.3,63,63,58,0.9206
15,0.4,63,62,57,0.9194
15,0.5,63,63,58,0.9206
15,0.6,63,61,55,0.9016
15,0.7,63,63,57,0.9048
15,0.8,63,62,56,0.9032
15,0.9,63,63,58,0.9206
15,1.0,63,63,59,0.9365
15,1.5,63,62,57,0.9194
15,2.0,63,63,58,0.9206
15,2.5,63,63,59,0.9365
16,0.1,63,63,58,0.9206
16,0.2,63,62,57,0.9194
16,0.3,63,62,58,0.9355
16,0.4,63,63,59,0.9365
16,0.5,63,62,59,0.9516
16,0.6,63,62,58,0.9355
16,0.7,63,62,58,0.9355
16,0.8,63,61,57,0.9344
16,0.9,63,63,60,0.9524
16,1.0,63,62,61,0.9839
16,1.5,63,62,61,0.9839
16,2.0,63,62,61,0.9839
16,2.5,63,61,59,0.9672
17,0.1,63,63,59,0.9365
17,0.2,63,63,59,0.9365
17,0.3,63,63,60,0.9524
17,0.4,63,62,59,0.9516
17,0.5,63,62,59,0.9516
17,0.6,63,63,61,0.9683
17,0.7,63,62,60,0.9677
17,0.8,63,61,59,0.9672
17,0.9,63,63,61,0.9683
17,1.0,63,63,61,0.9683
17,1.5,63,62,61,0.9839
17,2.0,63,63,62,0.9841
