layer,alpha,n_total,n_valid,n_match,success_rate
12,0.8,55,55,52,0.9455
12,0.9,55,55,52,0.9455
12,1.0,55,55,50,0.9091
12,1.5,55,55,54,0.9818
12,2.0,55,55,52,0.9455
12,2.5,55,55,49,0.8909
13,0.1,55,55,50,0.9091
13,0.2,55,55,49,0.8909
13,0.3,55,54,49,0.9074
13,0.4,55,55,51,0.9273
13,0.5,55,53,50,0.9434
13,0.6,55,55,51,0.9273
13,0.7,55,55,53,0.9636
13,0.8,55,55,51,0.9273
13,0.9,55,55,51,0.9273
13,1.0,55,53,49,0.9245
13,1.5,55,54,52,0.963
13,2.0,55,53,51,0.9623
13,2.5,55,53,50,0.9434
14,0.1,55,55,51,0.9273
14,0.2,55,55,50,0.9091
14,0.3,55,55,51,0.9273
14,0.4,55,55,52,0.9455
14,0.5,55,55,52,0.9455
14,0.6,55,55,51,0.9273
14,0.7,55,55,51,0.9273
14,0.8,55,55,52,0.9455
14,0.9,55,54,52,0.963
14,1.0,55,55,52,0.9455
14,1.5,55,55,54,0.9818
14,2.0,55,55,53,0.9636
14,2.5,55,55,53,0.9636
15,0.1,55,55,49,0.8909
15,0.2,55,55,51,0.9273
15,0.3,55,55,52,0.9455
15,0.4,55,53,50,0.9434
15,0.5,55,55,52,0.9455
15,0.6,55,55,51,0.9273
15,0.7,55,55,51,0.9273
15,0.8,55,55,52,0.9455
15,0.9,55,55,52,0.9455
15,1.0,55,55,51,0.9273
15,1.5,55,55,51,0.9273
15,2.0,55,55,52,0.9455
15,2.5,55,55,51,0.9273
16,0.1,55,55,49,0.8909
16,0.2,55,55,50,0.9091
16,0.3,55,54,50,0.9259
16,0.4,55,54,50,0.9259
16,0.5,55,51,48,0.9412
16,0.6,55,54,50,0.9259
16,0.7,55,54,50,0.9259
16,0.8,55,54,51,0.9444
16,0.9,55,54,53,0.9815
16,1.0,55,51,48,0.9412
16,1.5,55,51,49,0.9608
16,2.0,55,51,48,0.9412
16,2.5,55,51,48,0.9412
17,0.1,55,54,51,0.9444
17,0.2,55,54,50,0.9259
17,0.3,55,54,50,0.9259
17,0.4,55,53,49,0.9245
17,0.5,55,55,52,0.9455
17,0.6,55,54,51,0.9444
17,0.7,55,54,51,0.9444
17,0.8,55,54,51,0.9444
17,0.9,55,50,48,0.96
17,1.0,55,55,52,0.9455
17,1.5,55,55,52,0.9455
17,2.0,55,55,52,0.9455
17,2.5,55,55,54,0.9818
18,0.1,55,55,51,0.9273
18,0.2,55,55,48,0.8727
18,0.3,55,55,49,0.8909
18,0.4,55,53,47,0.8868
18,0.5,55,53,48,0.9057
18,0.6,55,54,49,0.9074
18,0.7,55,55,50,0.9091
18,0.8,55,55,51,0.9273
18,0.9,55,54,51,0.9444
18,1.0,55,54,51,0.9444
18,1.5,55,53,48,0.9057
18,2.0,55,54,50,0.9259
18,2.5,55,53,47,0.8868
19,0.1,55,55,51,0.9273
19,0.2,55,54,47,0.8704
19,0.3,55,54,49,0.9074
19,0.4,55,55,50,0.9091
19,0.5,55,54,48,0.8889
19,0.6,55,53,48,0.9057
19,0.7,55,55,50,0.9091
19,0.8,55,55,50,0.9091
19,0.9,55,55,52,0.9455
19,1.0,55,55,52,0.9455
19,1.5,55,55,54,0.9818
19,2.0,55,53,45,0.8491
19,2.5,55,55,51,0.9273
20,0.1,55,55,49,0.8909
20,0.2,55,55,47,0.8545
20,0.3,55,55,47,0.8545
20,0.4,55,52,47,0.9038
20,0.5,55,53,49,0.9245
20,0.6,55,54,48,0.8889
20,0.7,55,54,47,0.8704
20,0.8,55,55,51,0.9273
20,0.9,55,54,50,0.9259
20,1.0,55,53,49,0.9245
20,1.5,55,53,47,0.8868
20,2.0,55,53,48,0.9057
20,2.5,55,53,49,0.9245
21,0.1,55,55,51,0.9273
21,0.2,55,55,48,0.8727
21,0.3,55,55,49,0.8909
21,0.4,55,54,49,0.9074
21,0.5,55,55,50,0.9091
21,0.6,55,55,50,0.9091
21,0.7,55,54,49,0.9074
21,0.8,55,55,50,0.9091
21,0.9,55,55,50,0.9091
21,1.0,55,55,52,0.9455
21,1.5,55,54,49,0.9074
21,2.0,55,54,46,0.8519
21,2.5,55,54,48,0.8889
22,0.1,55,54,51,0.9444
22,0.2,55,54,49,0.9074
22,0.3,55,53,46,0.8679
22,0.4,55,53,47,0.8868
22,0.5,55,55,50,0.9091
22,0.6,55,53,48,0.9057
22,0.7,55,53,47,0.8868
22,0.8,55,54,49,0.9074
22,0.9,55,54,49,0.9074
22,1.0,55,55,49,0.8909
22,1.5,55,55,49,0.8909
22,2.0,55,55,48,0.8727
22,2.5,55,54,48,0.8889
23,0.1,55,55,51,0.9273
23,0.2,55,55,50,0.9091
23,0.3,55,54,49,0.9074
23,0.4,55,55,50,0.9091
23,0.5,55,51,45,0.8824
23,0.6,55,55,50,0.9091
23,0.7,55,55,50,0.9091
23,0.8,55,54,50,0.9259
23,0.9,55,55,51,0.9273
23,1.0,55,51,47,0.9216
23,1.5,55,51,46,0.902
23,2.0,55,49,46,0.9388
23,2.5,55,51,47,0.9216
24,0.1,55,55,51,0.9273
24,0.2,55,55,51,0.9273
24,0.3,55,55,50,0.9091
24,0.4,55,55,50,0.9091
24,0.5,55,55,51,0.9273
24,0.6,55,55,50,0.9091
24,0.7,55,54,49,0.9074
24,0.8,55,54,49,0.9074
24,0.9,55,55,51,0.9273
24,1.0,55,55,50,0.9091
24,1.5,55,55,50,0.9091
24,2.0,55,54,52,0.963
24,2.5,55,55,49,0.8909
25,0.1,55,55,50,0.9091
25,0.2,55,55,48,0.8727
25,0.3,55,55,51,0.9273
25,0.4,55,55,51,0.9273
25,0.5,55,55,50,0.9091
25,0.6,55,55,50,0.9091
25,0.7,55,54,49,0.9074
25,0.8,55,54,49,0.9074
25,0.9,55,55,50,0.9091
25,1.0,55,54,48,0.8889
25,1.5,55,53,50,0.9434
25,2.0,55,54,51,0.9444
25,2.5,55,53,48,0.9057
26,0.1,55,55,51,0.9273
26,0.2,55,55,51,0.9273
26,0.3,55,55,51,0.9273
26,0.4,55,55,51,0.9273
26,0.5,55,53,50,0.9434
26,0.6,55,55,50,0.9091
26,0.7,55,55,50,0.9091
26,0.8,55,55,50,0.9091
26,0.9,55,53,48,0.9057
26,1.0,55,54,50,0.9259
26,1.5,55,54,52,0.963
26,2.0,55,53,49,0.9245
26,2.5,55,54,49,0.9074
27,0.1,55,54,50,0.9259
27,0.2,55,55,51,0.9273
27,0.3,55,55,50,0.9091
27,0.4,55,55,51,0.9273
27,0.5,55,54,51,0.9444
27,0.6,55,55,51,0.9273
27,0.7,55,55,47,0.8545
27,0.8,55,55,48,0.8727
27,0.9,55,54,47,0.8704
27,1.0,55,54,50,0.9259
27,1.5,55,53,51,0.9623
27,2.0,55,54,51,0.9444
27,2.5,55,53,46,0.8679
28,0.1,55,55,51,0.9273
28,0.2,55,55,51,0.9273
28,0.3,55,55,51,0.9273
28,0.4,55,55,51,0.9273
28,0.5,55,52,49,0.9423
28,0.6,55,55,51,0.9273
28,0.7,55,54,49,0.9074
28,0.8,55,55,50,0.9091
28,0.9,55,55,51,0.9273
28,1.0,55,53,48,0.9057
28,1.5,55,52,47,0.9038
28,2.0,55,51,46,0.902
28,2.5,55,51,45,0.8824
29,0.1,55,55,51,0.9273
29,0.2,55,55,51,0.9273
29,0.3,55,55,50,0.9091
29,0.4,55,55,50,0.9091
29,0.5,55,55,53,0.9636
29,0.6,55,54,50,0.9259
29,0.7,55,55,50,0.9091
29,0.8,55,54,50,0.9259
29,0.9,55,55,51,0.9273
29,1.0,55,55,52,0.9455
29,1.5,55,54,51,0.9444
29,2.0,55,55,49,0.8909
29,2.5,55,55,44,0.8
30,0.1,55,53,50,0.9434
